id;listing_url;name;host_id;host_name;host_is_superhost;neighbourhood_cleansed;property_type;room_type;bathrooms_text;bedrooms;beds;amenities;price;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;reviews_per_month
55256;https://www.airbnb.com/rooms/55256;Luminous central room;260785;Lotte;f;Centrum-Oost;Private room in apartment;Private room;1 shared bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";90.0;179;2011-02-20;2019-12-30;92;9.0;9.0;9.0;10.0;10.0;8.0;1.5
64736;https://www.airbnb.com/rooms/64736;Luxury Houseboat;306192;Conny;t;De Baarsjes - Oud-West;Houseboat;Entire home/apt;1.5 baths;1.0;1.0;"[""Wifi"", ""Iron"", ""Coffee maker"", ""Dishwasher"", ""Hangers"", ""Carbon monoxide alarm"", ""Shampoo"", ""Fire extinguisher"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Cable TV"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Heating"", ""Indoor fireplace"", ""Washer"", ""First aid kit"", ""Smoke alarm""]";189.0;103;2013-08-29;2019-08-06;98;10.0;10.0;10.0;10.0;10.0;10.0;1.16
67841;https://www.airbnb.com/rooms/67841;Amsterdam - The Pijp Apartment 1A;335166;Dene;f;De Pijp - Rivierenbuurt;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Hangers"", ""Host greets you"", ""Long term stays allowed"", ""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""Hair dryer"", ""TV"", ""Heating"", ""Smoke alarm""]";106.0;16;2013-09-30;2019-08-12;94;10.0;10.0;10.0;9.0;10.0;9.0;0.18
68290;https://www.airbnb.com/rooms/68290;Rebel - Private Room;336950;Manuel;t;Centrum-West;Private room in apartment;Private room;1.5 shared baths;1.0;2.0;"[""Lock on bedroom door"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Smoke alarm"", ""Paid parking on premises"", ""Private entrance"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Iron"", ""Room-darkening shades"", ""EV charger"", ""Long term stays allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";66.0;659;2011-03-14;2019-10-25;96;10.0;10.0;10.0;10.0;10.0;10.0;5.55
82748;https://www.airbnb.com/rooms/82748;Bright apt in central Amsterdam;450453;Rudolf;f;Centrum-West;Entire apartment;Entire home/apt;1 bath;1.0;2.0;"[""Wifi"", ""Oven"", ""Coffee maker"", ""Fire extinguisher"", ""Shampoo"", ""Dryer"", ""Essentials"", ""Cable TV"", ""Kitchen"", ""Dishes and silverware"", ""TV"", ""Heating"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Smoke alarm"", ""Stove""]";249.0;131;2011-04-11;2020-01-02;96;10.0;9.0;10.0;10.0;10.0;9.0;1.11
137901;https://www.airbnb.com/rooms/137901;Houseboat with beautiful view;673879;Paulien;f;Zuid;Houseboat;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Dryer"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Washer"", ""Smoke alarm""]";165.0;28;2012-01-02;2018-02-01;90;9.0;9.0;10.0;9.0;9.0;9.0;0.26
165833;https://www.airbnb.com/rooms/165833;Amsterdam at your feet;790547;Bart;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;2 baths;3.0;4.0;"[""Children\u2019s books and toys"", ""Microwave"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Host greets you"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";112.0;41;2014-09-16;2020-03-10;97;10.0;10.0;10.0;10.0;10.0;10.0;0.54
168769;https://www.airbnb.com/rooms/168769;SUPERLOCATED Room in  CANALHOUSE, Private bath;436145;Riks;f;Centrum-West;Private room in townhouse;Private room;1.5 baths;1.0;1.0;"[""Wifi"", ""Iron"", ""Hot water"", ""Hangers"", ""Lock on bedroom door"", ""Host greets you"", ""Carbon monoxide alarm"", ""Shampoo"", ""Fire extinguisher"", ""Long term stays allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""First aid kit"", ""Hair dryer"", ""Heating"", ""Waterfront"", ""Smoke alarm""]";118.0;256;2011-09-28;2019-12-31;91;10.0;10.0;10.0;10.0;10.0;9.0;2.28
175989;https://www.airbnb.com/rooms/175989;Cat lover's paradise in Amsterdam's hottest street;58458;Dre;f;Zuid;Entire apartment;Entire home/apt;1 bath;1.0;2.0;"[""Children\u2019s books and toys"", ""Microwave"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Pack \u2019n Play/travel crib"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";200.0;102;2011-09-21;2020-07-14;97;10.0;9.0;10.0;10.0;10.0;10.0;0.91
189754;https://www.airbnb.com/rooms/189754;Metropolitan B&B centre Amsterdam;915591;Marijn;t;Centrum-West;Private room in bed and breakfast;Private room;1 private bath;1.0;3.0;"[""Carbon monoxide alarm"", ""Single level home"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""High chair"", ""Private entrance"", ""Cable TV"", ""BBQ grill"", ""TV"", ""Wifi"", ""Hot water"", ""Hangers"", ""Coffee maker"", ""Crib"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Garden or backyard"", ""Iron"", ""Host greets you"", ""Long term stays allowed"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Extra pillows and blankets"", ""Hair dryer"", ""Heating""]";113.0;186;2011-09-17;2020-09-13;95;10.0;10.0;10.0;10.0;10.0;9.0;1.65
199844;https://www.airbnb.com/rooms/199844;ART & DESIGN APARTMENT;976652;Home;f;Westerpark;Entire apartment;Entire home/apt;1 bath;1.0;2.0;"[""Wifi"", ""Iron"", ""Hangers"", ""Carbon monoxide alarm"", ""Shampoo"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Cable TV"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Heating"", ""Washer"", ""Smoke alarm""]";99.0;42;2011-09-14;2017-05-02;96;10.0;10.0;10.0;10.0;9.0;9.0;0.37
200461;https://www.airbnb.com/rooms/200461;Studio next 2 V´park near Leidsepl.;539840;Johanna;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;1 bath;;3.0;"[""Oven"", ""Iron"", ""Hot water"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Single level home"", ""Paid parking off premises"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Heating"", ""Cooking basics"", ""Dishes and silverware"", ""Refrigerator"", ""Body soap"", ""Stove""]";71.0;42;2011-08-29;2020-10-31;87;9.0;9.0;9.0;10.0;9.0;8.0;0.37
203658;https://www.airbnb.com/rooms/203658;Best Area - Large Luxury 3 Bdr Home;999036;Eelco;f;Zuid;Entire apartment;Entire home/apt;1.5 baths;3.0;4.0;"[""Microwave"", ""Refrigerator"", ""Dishes and silverware"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Stove"", ""Wifi"", ""Coffee maker"", ""Hangers"", ""Shampoo"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";284.0;24;2012-01-04;2017-07-02;97;10.0;10.0;10.0;10.0;10.0;9.0;0.22
212050;https://www.airbnb.com/rooms/212050;Spacious home w roof garden;887591;Danielle;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;1.5 baths;2.0;3.0;"[""Children\u2019s books and toys"", ""Microwave"", ""Outlet covers"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Children\u2019s dinnerware"", ""Babysitter recommendations"", ""Cable TV"", ""Window guards"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Kitchen"", ""Gym"", ""Cooking basics"", ""Garden or backyard"", ""Iron"", ""Room-darkening shades"", ""Dishwasher"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";246.0;20;2012-04-09;2020-08-11;96;10.0;9.0;10.0;10.0;10.0;9.0;0.19
213721;https://www.airbnb.com/rooms/213721;Amsterdam Apartment (waterview);599238;Anouk;f;Zuid;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Microwave"", ""Carbon monoxide alarm"", ""Single level home"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""TV"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Lockbox"", ""Lake access"", ""Iron"", ""EV charger"", ""Dishwasher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Bed linens"", ""Heating"", ""Waterfront""]";151.0;41;2011-10-11;2019-05-11;99;10.0;10.0;10.0;10.0;10.0;9.0;0.37
245927;https://www.airbnb.com/rooms/245927;Sonnenberg - Canal side & view - Private & Central;1005087;Wytse;t;Centrum-West;Private room in guest suite;Private room;1.5 baths;2.0;3.0;"[""Microwave"", ""Lock on bedroom door"", ""Carbon monoxide alarm"", ""Private living room"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""High chair"", ""Oven"", ""Private entrance"", ""Babysitter recommendations"", ""Cable TV"", ""TV"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Bathtub"", ""Ethernet connection"", ""Iron"", ""Dishwasher"", ""Host greets you"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Extra pillows and blankets"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Waterfront"", ""Washer""]";130.0;104;2012-04-29;2020-10-11;96;10.0;10.0;10.0;10.0;10.0;9.0;0.99
256670;https://www.airbnb.com/rooms/256670;Caracteristic, family apartment;1350388;Stefan;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;2 baths;4.0;6.0;"[""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""First aid kit"", ""Smoke alarm"", ""High chair"", ""Cable TV"", ""TV"", ""Wifi"", ""Hot water"", ""Hangers"", ""Fire extinguisher"", ""Shampoo"", ""Bathtub"", ""Kitchen"", ""Gym"", ""Iron"", ""Host greets you"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";250.0;7;2013-07-14;2019-08-06;91;9.0;9.0;9.0;10.0;9.0;9.0;0.08
262394;https://www.airbnb.com/rooms/262394;Charming Studio with Roof Terrace;1376607;Martin;t;Zuid;Private room in apartment;Private room;1 private bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Patio or balcony"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Carbon monoxide alarm"", ""Shampoo"", ""Fire extinguisher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Essentials"", ""Kitchen"", ""Cable TV"", ""Hair dryer"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm""]";88.0;119;2012-04-11;2019-10-07;96;10.0;10.0;10.0;10.0;9.0;9.0;1.13
274706;https://www.airbnb.com/rooms/274706;Beautiful central & quiet apartment;1436134;Veronica;f;Centrum-Oost;Entire apartment;Entire home/apt;1 bath;2.0;2.0;"[""Wifi"", ""Shampoo"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""Heating"", ""Washer""]";200.0;35;2012-05-01;2018-04-29;99;10.0;10.0;10.0;10.0;10.0;9.0;0.33
277011;https://www.airbnb.com/rooms/277011;nice apartment in centre amsterdam;1446698;Aafje;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Private entrance"", ""Dedicated workspace"", ""Essentials"", ""Kitchen"", ""Heating"", ""Washer"", ""Hot tub""]";125.0;20;2012-06-22;2018-11-14;98;10.0;9.0;10.0;10.0;10.0;10.0;0.19
282269;https://www.airbnb.com/rooms/282269;Your central home in wonderful AMS!;1471195;Judith;f;Zuid;Entire apartment;Entire home/apt;1.5 baths;2.0;3.0;"[""Wifi"", ""Dryer"", ""Kitchen"", ""Cable TV"", ""TV"", ""Heating"", ""Washer"", ""Smoke alarm""]";116.0;3;2013-09-10;2015-09-15;100;10.0;10.0;10.0;10.0;10.0;10.0;0.03
283170;https://www.airbnb.com/rooms/283170;"5-bedrooms house; central location";1451657;Marco;f;Zuid;Entire apartment;Entire home/apt;1.5 baths;5.0;12.0;"[""Children\u2019s books and toys"", ""Microwave"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Game console"", ""High chair"", ""Oven"", ""Children\u2019s dinnerware"", ""Private entrance"", ""Cable TV"", ""TV"", ""Baby bath"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Crib"", ""Fire extinguisher"", ""Shampoo"", ""Bathtub"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""Dishwasher"", ""Baby safety gates"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Changing table"", ""Heating"", ""Washer""]";650.0;109;2012-04-12;2020-03-08;90;9.0;9.0;10.0;10.0;10.0;8.0;1.03
304082;https://www.airbnb.com/rooms/304082;Quiet studio in the heart of town with Garden!;276068;Mirre;f;Centrum-West;Entire apartment;Entire home/apt;1.5 baths;1.0;2.0;"[""Pour-over coffee"", ""Freezer"", ""First aid kit"", ""Mini fridge"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Ceiling fan"", ""Patio or balcony"", ""Private entrance"", ""Body soap"", ""Stove"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Shower gel"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Portable fans"", ""Cooking basics"", ""Host greets you"", ""Long term stays allowed"", ""Conditioner"", ""Essentials"", ""Laundromat nearby"", ""Bed linens"", ""Hair dryer"", ""Heating""]";68.0;97;2012-03-22;2020-11-29;94;9.0;10.0;10.0;10.0;10.0;9.0;0.91
306852;https://www.airbnb.com/rooms/306852;SunShine, A Sunny Amsterdam Center Special;1141485;Gisèle And Simon;f;Centrum-Oost;Entire apartment;Entire home/apt;1.5 baths;2.0;2.0;"[""Wifi"", ""Iron"", ""Microwave"", ""Coffee maker"", ""Hangers"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Cable TV"", ""Kitchen"", ""Dishes and silverware"", ""TV"", ""Heating"", ""Refrigerator"", ""Washer"", ""Hair dryer"", ""Smoke alarm"", ""Stove""]";200.0;21;2012-09-14;2019-10-28;91;10.0;10.0;10.0;10.0;10.0;9.0;0.21
308028;https://www.airbnb.com/rooms/308028;SunFlower, A Sunny B&B + 2 Bicycles;1141485;Gisèle And Simon;f;Centrum-Oost;Private room in apartment;Private room;Private half-bath;1.0;1.0;"[""Wifi"", ""Microwave"", ""Hot water"", ""Coffee maker"", ""Refrigerator"", ""Dishes and silverware"", ""Breakfast""]";70.0;35;2014-03-25;2020-07-28;95;9.0;9.0;10.0;10.0;10.0;9.0;0.43
310722;https://www.airbnb.com/rooms/310722;Cozy Central Apartment Amsterdam;1598424;Valentijn;f;Zuid;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Wifi"", ""Carbon monoxide alarm"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""TV"", ""Heating"", ""Washer"", ""Smoke alarm""]";169.0;28;2013-03-18;2016-10-22;96;10.0;10.0;10.0;10.0;10.0;10.0;0.3
311584;https://www.airbnb.com/rooms/311584;40 m2 Appartment near Leidseplein;1023895;Luca And Aldo;f;De Baarsjes - Oud-West;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Microwave"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""Oven"", ""TV"", ""Stove"", ""Wifi"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Lockbox"", ""Iron"", ""Dishwasher"", ""Long term stays allowed"", ""Dedicated workspace"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";95.0;60;2018-11-09;2020-03-03;96;10.0;9.0;10.0;10.0;9.0;9.0;2.35
319985;https://www.airbnb.com/rooms/319985;Elegant Appartement Central Location.;1640702;J;t;De Pijp - Rivierenbuurt;Entire apartment;Entire home/apt;1 bath;1.0;2.0;"[""Microwave"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dishes and silverware"", ""Smoke alarm"", ""High chair"", ""Private entrance"", ""Cable TV"", ""TV"", ""Building staff"", ""Stove"", ""Wifi"", ""Hot water"", ""Hangers"", ""Coffee maker"", ""Crib"", ""Shower gel"", ""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Kitchen"", ""Cooking basics"", ""Iron"", ""EV charger"", ""Dishwasher"", ""Dedicated workspace"", ""Paid parking off premises"", ""Dryer"", ""Essentials"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Washer""]";69.0;339;2012-05-06;2020-11-20;95;10.0;9.0;10.0;9.0;10.0;9.0;3.23
340994;https://www.airbnb.com/rooms/340994;Stay at 'Perfect appartement in the center' by the;1730202;Anja;f;Centrum-Oost;Entire apartment;Entire home/apt;1 bath;1.0;1.0;"[""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Smoke alarm"", ""Paid parking on premises"", ""Oven"", ""Patio or balcony"", ""Cable TV"", ""TV"", ""Wifi"", ""Hot water"", ""Hangers"", ""Shampoo"", ""Kitchen"", ""Elevator"", ""Iron"", ""Dishwasher"", ""Dedicated workspace"", ""Dryer"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Washer""]";150.0;37;2012-05-02;2019-10-21;98;10.0;10.0;10.0;10.0;10.0;10.0;0.35
343094;https://www.airbnb.com/rooms/343094;Amstel Nest - an urban retreat for two;1740785;Rob & Fang;t;Oud-Oost;Private room in townhouse;Private room;1 private bath;1.0;1.0;"[""Wifi"", ""Iron"", ""Microwave"", ""Hot water"", ""Coffee maker"", ""Hangers"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Essentials"", ""Hair dryer"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Lockbox"", ""Smoke alarm""]";59.0;390;2012-05-02;2020-10-24;98;10.0;10.0;10.0;10.0;10.0;10.0;3.72
